slide_no,date,lead_d,region,y14,y7,train_exclude,r24,r3,r7,r30,d_r24_1d,d_r7_3d,accel,dryspell,soil,soil_prov,d_soil_3d,d_soil_7d,fos_med,fos_prov,d_fos_7d,seis_n50,seis_dist,seis_yrs,slope,elev,aspect,curv,twi,spi,draind,ndvi,d_road,d_river,lulc,susceptibility,analogue_m
NEWS-17MILE-20220615,2022-04-16,60,bg,0,0,0,0.1,2.8,68.1,382.9,0.1,-128.2,-17.457,2,,MISSING (window-absent),,,1.287,ANALYTICAL-ensemble,0.009,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-17,59,bg,0,0,0,3.3,3.4,25.5,386.2,3.2,-106.1,-26.457,0,,MISSING (window-absent),,,1.287,ANALYTICAL-ensemble,0.023,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-18,58,bg,0,0,0,43.1,46.5,57.7,429.3,39.8,-38.7,-20.814,0,,MISSING (window-absent),,,1.282,ANALYTICAL-ensemble,0.016,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-19,57,bg,0,0,0,2.2,48.5,59.8,430.5,-40.9,-8.3,-18.5,1,,MISSING (window-absent),,,1.271,ANALYTICAL-ensemble,0.004,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-20,56,bg,0,0,0,0.2,45.4,51.5,409.0,-2.0,26.0,-20.686,2,,MISSING (window-absent),,,1.285,ANALYTICAL-ensemble,0.014,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-21,55,bg,0,0,0,0.0,2.3,48.8,397.4,-0.2,-8.9,-11.829,3,,MISSING (window-absent),,,1.286,ANALYTICAL-ensemble,0.009,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-22,54,bg,0,0,0,18.4,18.6,67.2,415.5,18.4,7.4,-4.171,0,,MISSING (window-absent),,,1.285,ANALYTICAL-ensemble,-0.001,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-23,53,bg,0,0,0,3.3,21.7,70.4,404.6,-15.1,18.9,0.329,0,,MISSING (window-absent),,,1.286,ANALYTICAL-ensemble,-0.001,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-24,52,bg,0,0,0,9.7,31.4,76.9,398.0,6.4,28.1,7.343,0,,MISSING (window-absent),,,1.286,ANALYTICAL-ensemble,-0.001,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-25,51,bg,0,0,0,2.8,15.9,36.6,400.2,-6.9,-30.6,-3.014,0,,MISSING (window-absent),,,1.286,ANALYTICAL-ensemble,0.004,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
NEWS-17MILE-20220615,2022-04-26,50,bg,0,0,0,0.2,12.7,34.6,399.8,-2.6,-35.8,-3.6,1,,MISSING (window-absent),,,1.286,ANALYTICAL-ensemble,0.015,10,18.18,1,25.5,1401.0,344.0,-0.0267,4.14,14.3,0.0,0.784,130.8,873.8,FOREST,0.38,2101.2
